whois_regDate,whois_expDate,whois_updatedDate,dot_count,url_len,digit_count,special_count,hyphen_count,double_slash,single_slash,at_the_rate,protocol,protocol_count
747,346,2,6,225,58,12,4,0,10,0,0,0
3864,153,210,7,177,47,0,1,0,11,0,0,0
6568,5,358,6,60,0,0,0,0,2,0,0,0
237,127,234,1,116,21,1,1,1,10,0,0,0
-1,-1,-1,3,36,0,0,0,0,1,0,0,0
-1,-1,-1,2,61,7,0,3,0,2,0,0,0
292,72,288,5,60,4,0,0,0,6,0,0,0
-1,-1,-1,1,19,4,0,0,0,1,0,0,0
2019,171,198,4,193,35,9,3,0,10,0,0,0
4561,186,234,3,45,0,0,0,0,3,0,0,0
9012,2309,983,2,79,7,2,0,0,2,0,0,0
-1,-1,-1,4,63,0,1,1,0,5,0,0,0
-1,-1,-1,3,59,0,1,0,0,3,0,0,0
-1,-1,-1,3,53,0,0,0,0,5,0,0,0
-1,-1,-1,2,37,0,0,0,0,4,0,0,0
94,270,3,5,65,4,0,0,0,6,0,0,0
-1,-1,-1,5,59,4,0,0,0,2,0,0,0
-1,-1,-1,5,49,4,0,0,0,1,0,0,0
-1,-1,-1,2,87,2,0,6,0,7,0,0,0
6901,38,260,2,77,0,0,1,0,7,0,0,0
-1,-1,-1,1,12,2,0,0,0,1,0,0,0
292,72,288,5,63,4,0,0,0,6,0,0,0
7818,1677,381,2,29,0,0,0,0,1,0,0,0
2019,171,198,4,188,38,8,3,0,10,0,0,0
-1,-1,-1,3,95,1,0,6,0,7,0,0,0
7818,1677,381,3,58,0,0,0,0,3,0,0,0
-1,-1,-1,2,37,0,0,0,0,3,0,0,0
-1,-1,-1,3,66,25,0,0,0,5,0,0,0
9012,2309,983,4,94,3,2,0,0,4,0,0,0
-1,-1,-1,2,47,1,0,1,0,3,0,0,0
5412,66,308,3,33,0,0,0,0,1,0,0,0
5878,330,139,10,103,17,0,0,0,3,0,0,0
7417,2444,616,1,19,0,0,0,0,1,0,0,0
4833,279,114,3,37,2,0,0,0,2,0,0,0
336,28,101,1,13,0,0,0,0,1,0,0,0
7499,535,1382,2,42,0,0,0,0,3,0,0,0
